epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2652.25,0.35835,0.3636,0.87413,0.88557,0.87312,0.90812,0.87014,0.27214,0.47037,0.79372,0.00077428,0.00077428,0.00077428
116,2674.33,0.37646,0.37595,0.89003,0.92009,0.86874,0.91939,0.88221,0.29202,0.41113,0.80285,0.0007723,0.0007723,0.0007723
117,2696.21,0.38693,0.36002,0.89599,0.93583,0.88101,0.89385,0.8629,0.29518,0.4619,0.81282,0.00077032,0.00077032,0.00077032
118,2718.15,0.36494,0.3574,0.8828,0.91995,0.84233,0.89753,0.85473,0.30099,0.45362,0.8373,0.00076834,0.00076834,0.00076834
119,2740.1,0.37361,0.35954,0.89321,0.96557,0.84863,0.93547,0.89058,0.30758,0.3933,0.83317,0.00076636,0.00076636,0.00076636
120,2762.16,0.3593,0.38093,0.86309,0.95397,0.86782,0.94548,0.90284,0.28067,0.35477,0.81436,0.00076438,0.00076438,0.00076438
121,2784.11,0.3533,0.33708,0.88225,0.95077,0.89053,0.94417,0.92161,0.26098,0.34937,0.79878,0.0007624,0.0007624,0.0007624
122,2806.66,0.35348,0.34443,0.87319,0.9524,0.88943,0.93025,0.90767,0.29176,0.35887,0.82125,0.00076042,0.00076042,0.00076042
123,2828.88,0.35935,0.32501,0.88208,0.93493,0.87124,0.89726,0.86941,0.27327,0.4366,0.79749,0.00075844,0.00075844,0.00075844
124,2850.87,0.36502,0.35022,0.89536,0.92614,0.84673,0.9165,0.88636,0.29266,0.43518,0.80447,0.00075646,0.00075646,0.00075646
125,2872.93,0.37724,0.35463,0.89405,0.90752,0.8404,0.90305,0.87554,0.34531,0.48155,0.84931,0.00075448,0.00075448,0.00075448
126,2895,0.36965,0.35063,0.88879,0.95067,0.85475,0.90637,0.87742,0.30442,0.45219,0.83878,0.0007525,0.0007525,0.0007525
127,2917.63,0.36201,0.34094,0.8883,0.93859,0.85196,0.91664,0.89129,0.27391,0.40983,0.79635,0.00075052,0.00075052,0.00075052
128,2940.73,0.36284,0.34881,0.88902,0.94054,0.84036,0.9172,0.88937,0.25834,0.39784,0.78943,0.00074854,0.00074854,0.00074854
129,2963.52,0.34605,0.33124,0.8747,0.92027,0.86847,0.92106,0.89944,0.25533,0.38388,0.79149,0.00074656,0.00074656,0.00074656
130,2986.42,0.36525,0.35841,0.88798,0.92619,0.83516,0.89827,0.88185,0.25377,0.46863,0.78678,0.00074458,0.00074458,0.00074458
131,3008.85,0.36127,0.33894,0.88288,0.9196,0.80365,0.90832,0.87895,0.29802,0.4698,0.82389,0.0007426,0.0007426,0.0007426
132,3031.52,0.37748,0.35481,0.88861,0.92409,0.86489,0.92684,0.89032,0.29751,0.43095,0.82692,0.00074062,0.00074062,0.00074062
133,3054.22,0.35846,0.34739,0.88122,0.94698,0.86475,0.93753,0.9077,0.26958,0.32773,0.80031,0.00073864,0.00073864,0.00073864
134,3077.24,0.3589,0.34898,0.89819,0.91036,0.90194,0.92697,0.88069,0.30527,0.38838,0.82302,0.00073666,0.00073666,0.00073666
135,3099.98,0.38294,0.35648,0.887,0.86196,0.88889,0.93241,0.90361,0.28687,0.41483,0.80574,0.00073468,0.00073468,0.00073468
136,3122.59,0.34096,0.42617,0.87405,0.93791,0.83351,0.91842,0.8887,0.27195,0.40712,0.80044,0.0007327,0.0007327,0.0007327
137,3144.59,0.34912,0.41469,0.8845,0.93202,0.86805,0.93786,0.91266,0.27337,0.38884,0.79233,0.00073072,0.00073072,0.00073072
138,3166.71,0.36317,0.34257,0.87919,0.88831,0.89657,0.91287,0.88567,0.26667,0.37938,0.79034,0.00072874,0.00072874,0.00072874
139,3188.86,0.35975,0.32685,0.87067,0.95294,0.84365,0.9066,0.88628,0.26242,0.41569,0.7935,0.00072676,0.00072676,0.00072676
140,3210.95,0.3677,0.32561,0.88379,0.8973,0.88055,0.91082,0.88232,0.29181,0.4263,0.83234,0.00072478,0.00072478,0.00072478
141,3232.94,0.38526,0.34416,0.88838,0.93046,0.88015,0.91965,0.89529,0.31255,0.40158,0.84205,0.0007228,0.0007228,0.0007228
142,3254.94,0.36188,0.32754,0.88215,0.94704,0.86447,0.93163,0.89028,0.31167,0.41302,0.83706,0.00072082,0.00072082,0.00072082
143,3276.86,0.35894,0.33399,0.88364,0.92407,0.89705,0.93421,0.89586,0.28993,0.34089,0.81941,0.00071884,0.00071884,0.00071884
144,3299.04,0.35814,0.33377,0.8813,0.92958,0.90837,0.94319,0.90636,0.29359,0.34218,0.8205,0.00071686,0.00071686,0.00071686
145,3320.99,0.34532,0.32108,0.88487,0.93513,0.87334,0.91597,0.88813,0.30913,0.43776,0.81507,0.00071488,0.00071488,0.00071488
146,3342.94,0.35355,0.31586,0.88067,0.91898,0.89333,0.90668,0.88226,0.27206,0.40343,0.79838,0.0007129,0.0007129,0.0007129
147,3364.97,0.35821,0.32921,0.89013,0.90161,0.89528,0.92142,0.89136,0.29551,0.46856,0.80194,0.00071092,0.00071092,0.00071092
148,3386.94,0.34594,0.31248,0.87205,0.92999,0.90768,0.93899,0.90976,0.2546,0.3541,0.79152,0.00070894,0.00070894,0.00070894
149,3409.1,0.35041,0.32371,0.88505,0.92233,0.89885,0.92373,0.89883,0.26352,0.41451,0.79583,0.00070696,0.00070696,0.00070696
150,3431.07,0.35352,0.3454,0.88327,0.91063,0.90202,0.90146,0.87387,0.28969,0.47062,0.80812,0.00070498,0.00070498,0.00070498
151,3453,0.35661,0.32959,0.88534,0.91107,0.8369,0.91211,0.88037,0.28788,0.4736,0.81731,0.000703,0.000703,0.000703
